,user,input_code,model_a,model_b,winner,is_strong,juiceOptions,juiceOtherReason
0,62db2644ab0a3a353c0dcb54,3_solomon_0_5_5_sample_1_0299-0636,RAG-Gesture,RAG-Gesture_Mismatched,model_a,False,"[""FitRhythmTiming"",""BetterMatchContentMeaning""]",
1,62db2644ab0a3a353c0dcb54,2_scott_0_111_111_sample_4_0288-0582,SemanticGesticulator_Mismatched,SemanticGesticulator,model_b,False,"[""FitRhythmTiming"",""EmphasizeCorrectParts""]",
2,62db2644ab0a3a353c0dcb54,22_luqi_0_103_103_sample_2_0339-0687,ConvoFusion_Mismatched,ConvoFusion,model_b,False,"[""FitRhythmTiming""]",
3,62db2644ab0a3a353c0dcb54,25_goto_0_81_81_sample_4_0645-0995,BEAT,BEAT_Mismatched,model_a,False,"[""FitRhythmTiming"",""BetterFitForEmotion"",""BetterMatchContentMeaning""]",
4,62db2644ab0a3a353c0dcb54,30_katya_0_95_95_sample_5_0271-0618,AMUSE_Mismatched,AMUSE,model_b,True,"[""FitRhythmTiming"",""EmphasizeCorrectParts"",""BetterMatchContentMeaning"",""BetterFitForEmotion""]",
5,62db2644ab0a3a353c0dcb54,15_carlos_0_111_111_sample_4_0350-0686,DiffuseStyleGesture,DiffuseStyleGesture_Mismatched,tie,False,{},
6,62db2644ab0a3a353c0dcb54,15_carlos_0_87_87_sample_4_0346-0654,HoloGest_Mismatched,HoloGest,tie,False,{},
7,62db2644ab0a3a353c0dcb54,25_goto_0_111_111_sample_1_0326-0660,DiffuseStyleGesture_Mismatched,DiffuseStyleGesture,model_b,False,"[""BetterMatchContentMeaning""]",
8,62db2644ab0a3a353c0dcb54,7_sophie_0_65_65_sample_2_0357-0705,HoloGest_Mismatched,HoloGest,model_b,False,"[""FitRhythmTiming""]",
9,62db2644ab0a3a353c0dcb54,6_carla_0_103_103_sample_1_0350-0696,SemanticGesticulator,SemanticGesticulator_Mismatched,model_b,False,"[""FitRhythmTiming"",""BetterMatchContentMeaning""]",
10,62db2644ab0a3a353c0dcb54,13_lu_0_103_103_sample_4_0344-0615,RAG-Gesture,RAG-Gesture_Mismatched,model_b,False,"[""FitRhythmTiming"",""BetterMatchContentMeaning""]",
11,62db2644ab0a3a353c0dcb54,21_ayana_0_81_81_sample_1_0236-0585,AMUSE,AMUSE_Mismatched,model_b,False,"[""FitRhythmTiming"",""BetterMatchContentMeaning""]",
12,62db2644ab0a3a353c0dcb54,2_scott_0_3_3_sample_2_0359-0591,ConvoFusion,ConvoFusion_Mismatched,model_b,True,"[""FitRhythmTiming"",""EmphasizeCorrectParts"",""BetterFitForEmotion"",""BetterMatchContentMeaning""]",
13,62db2644ab0a3a353c0dcb54,11_nidal_0_81_81_sample_4_0347-0683,BEAT_Mismatched,BEAT,model_b,False,"[""FitRhythmTiming""]",
14,62db2644ab0a3a353c0dcb54,9_miranda_0_73_73_sample_1_0265-0592,DiffuseStyleGesture,DiffuseStyleGesture_Mismatched,model_b,False,"[""FitRhythmTiming"",""BetterMatchContentMeaning""]",
15,62db2644ab0a3a353c0dcb54,16_jorge_0_103_103_sample_1_0351-0699,SemanticGesticulator,SemanticGesticulator_Mismatched,model_b,True,"[""FitRhythmTiming"",""BetterMatchContentMeaning"",""BetterFitForEmotion""]",
16,62db2644ab0a3a353c0dcb54,25_goto_0_111_111_sample_1_0326-0660,RAG-Gesture,RAG-Gesture_Mismatched,model_b,False,"[""FitRhythmTiming""]",
17,62db2644ab0a3a353c0dcb54,4_lawrence_0_95_95_sample_1_0330-0649,BEAT_Mismatched,BEAT,model_b,True,"[""FitRhythmTiming"",""BetterMatchContentMeaning"",""BetterFitForEmotion"",""EmphasizeCorrectParts""]",
18,62db2644ab0a3a353c0dcb54,24_kexin_0_111_111_sample_5_0352-0696,AMUSE,AMUSE_Mismatched,tie,False,{},
19,62db2644ab0a3a353c0dcb54,3_solomon_0_111_111_sample_4_0344-0704,ConvoFusion_Mismatched,ConvoFusion,model_a,False,"[""FitRhythmTiming"",""BetterMatchContentMeaning""]",
20,62db2644ab0a3a353c0dcb54,1_wayne_0_87_87_sample_4_0284-0594,HoloGest_Mismatched,HoloGest,model_b,True,"[""FitRhythmTiming"",""BetterMatchContentMeaning"",""BetterFitForEmotion""]",
21,62db2644ab0a3a353c0dcb54,17_itoi_0_103_103_sample_3_0329-0679,SemanticGesticulator_Mismatched,SemanticGesticulator,model_b,False,"[""FitRhythmTiming"",""BetterMatchContentMeaning""]",
22,62db2644ab0a3a353c0dcb54,1_wayne_0_65_65_sample_3_0295-0543,ConvoFusion,ConvoFusion_Mismatched,model_b,True,"[""FitRhythmTiming"",""BetterMatchContentMeaning"",""BetterFitForEmotion""]",
